>アーシアン，ルーベン	Arslan, Ruben C.
クノウアー，ナンシー	Knauer, Nancy
グラインダー	Grindr
クラインプラッツ，ペギー	Kleinplatz, Peggy J.
グラント，イザベル	Grant, Isabel
グランペトロ，ベス	Grampetro, Beth
グリア，ジャーメイン	Greer, Germain
グリーンウェル，ガース	Greenwell, Garth
グリーン，スチュワート	Green, Stuart
グリーン，リディア	Green, Lydia
グリーン，レスリー	Green, Leslie
クリクトン，サラ	Crichton, Sarah
クリスタキス，ニコラス・A	Christakis, Nicholas A.
クリスチャンソン，クリスチャン	Kristjánsson, Kristján
クリスティナ，グレタ	Christina, Greta
クリストフ，ニコラス	Kristof, Nicholas
グリゼズ，ジャーメイン	Grisez, Germaine
クリック，ドン	Kulick, Don
グリックマン，チャーリー	Glickman, Charlie
クリントン，ビル	Clinton, Bill
クルーズ，アリエンヌ	Cruz, Ariane
クルックストン，エミリー	Crookston, Emily
クレイマー，カレン	Kramer, Karen
クレンショー，キンバリー・ウィリアムズ	Crenshaw, Kimberlé Williams
グローバー，キャメロン	Glover, Cameron
ケア提供ユニオン	care-giving union
ゲイヴィー，ニコラ	Gavey, Nicola
ケイシー事件／プランド・パレントフッド対ケイシー事件	Planned Parenthood v. Casey
ゲイの権利	gay rights
ケスラー，カリ	Kesler, Kari
結婚のプライベート化	privatization of marriage
ケネディ，アンソニー	Kennedy, Anthony
ケラー，ダフネ	Keller, Daphne
言語行為論	speech-act theory
ケンディ，イブラムX	Kendi, Ibram X.
厳密説	strict view
幸福	happiness / well-being
効用	utility
功利主義	utilitarianism
コーストン，アマンダ	Cawston, Amanda
コーニン，ジョン	Cornyn, John
コーラン	Koran, The
ゴールドマン，アラン	Goldman, Alan
ゴールドマン，エマ	Goldman, Emma
コーワン，シャロン	Cowan, Sharon
国際セックスワーカーユニオン	International Union of Sex Workers
子供の犯罪被害研究センター	Crimes against Children Research Centre
コミットメント	commitment
『コミュニティ』（テレビ番組）	Community (television series)
コルゲート大学	Colgate University
婚外セックス／婚外のセックス	extra-marital sex
コンスティン，ジョシュ	Constine, Josh
コンパーション	Compersion
最小結婚	Minimal Marriage
サイドマン，イレーネ	Seidman, Ilene
サヴェッジ，ダン	Savage, Dan
搾取	exploitation
ザッカーバーグ，マーク	Zuckerberg, Mark
ザックス，アビー	Sachs, Abby
サッツ，デボラ	Satz, Deborah
ザッヘルマゾッホ，レオポルド	Sacher-Masoch, Leopold von
サド，マルキ・ド	Sade, Marquis de
ザニン，アンドレアス	Zanin, Andreas
サブミッシブ	submissive
差別	discrimination
サポスキー，ロバート	Sapolsky, Robert
サルトル，ジャン=ポール	Sartre, Jean-Paul
サンガー，キャロル	Sanger, Carol
サンステイン，キャス	Sunstein, Cass
サンデル，マイケル	Sandel, Michael
サンドクィスト事件／キャンベル対サンドクィスト事件	Campbell v. Sundquist
サントルム，リック	Santorum, Rick
シーガル，リン	Segal, Lynn
ジェイコブス，アラン	Jacobs, Alan
ジェームズ，スージーQ	James, Siouxsie Q.
ジェタ，カシルダ	Jethá, Cacilda
シェフ，エリザベス	Sheff, Elisabeth
ジェンキンス，キャリー	Jenkins, Carrie
ジェンセン，ロバート	Jensen, Robert
市場	market
自然状態	State of Nature
自然法	natural law
自然法理論	Natural Law Theory
私通	fornification
嫉妬	jealousy
ジニ係数	Gini coefficient
シバース，トビン	Siebers, Tobin
シビルユニオン	civil unions
シャープ事件／R対シャープ事件	R. v. Sharpe
シャウアー，フレデリック	Schauer, Frederick
ジャガー，アリソン	Jaggar, Alison
シャピロ，ベン	Shapiro, Ben
ジャミル，ジャミーラ	Jamil, Jameela
自由	liberty
獣姦	beastality
宗教的自由	liberty, religious
シュールホッファー，スティーヴン	Schulhofer, Stephen
シュガーカント	Sugarcunt
主体性	agency
シュッツ，マシアス	Scheutz, Mattheus
シュレイジ，ローリー	Shrage, Laurie
シュレヒニンガー、ヒース	Schechinger, Heath
シュワルツ，バリー	Schwartz, Barry
ジョイ，ペトラ	Joy, Petra
ジョイス，ジェームズ	Joyce, James
ジョヴァノヴィック事件／人民対ジョヴァノヴィック事件	People v. Jovanovic
障害者／障害のある人	disabilities, persons with
ジョージ，ロバート	George, Robert
ショート，ジョイス	Short, Joyce
ショッテン，C・ハイケ	Schotten, C. Heike
ジョリーズ，マジョリー	Jolles, Marjorie
シラー，フィリップ	Schiller, Philip
シリーズ，ルーシー	Series, Lucy
自律	autonomy
進化	evolution
シンガー，ピーター	Singer, Peter
シンクレア，カップケーキ	Sinclair, Cupcake
人権	human rights
人種差別／レイシズム	racism
スインギング／スインガー	swinging / swinger
スウェーデン	Sweden
スーダン	Sudan
ズオシ，シ	Zuoshi, Xie
スパイヤー，テア	Spyer, Thea
スカイプ	Skype
スカラ，アントニン	Scalia, Antonin
スクルートン，ロジャー	Scruton, Roger
スコット，ジェニファー	Scott, Jennifer
スコティア，ダニー	Scoccia, Danny
スタートレックデーティング	Star Trek Dating
スタイネム，グロリア	Steinem, Gloria
スタブルフィールド，アンナ	Stubblefield, Anna
スタンバーグ，ロバート	Sternberg, Robert J.
スタンフォード大学	Stanford University
スチュワート，ポッター	Stewart, Potter
スティーブンス，アンジ・ベッカー	Stevens, Angi Becker
スティーヴンソン，ルビー	Stevenson, Ruby
スティーブン，レスリー・フィッツジェイムズ	Stephen, Leslie Fitzjames
スティグマ／汚名／烙印	stigma
ステイシー，ジュディス	Stacey, Judith
ストーケル=ウォーカー，クリス	Stokel-Walker, Chris
ストーヤ	Stoya
ストーラー，ロバート	Stoller, Robert
ストライカー，キティ	Striker, Kitty
ストレート	straight
スパルタ	Sparta
スプリンクル，アニー	Sprinkle, Annie
スミス，モリー	Smith, Molly
スラスバーグ，モーラ	Strassberg, Maura
スラット／尻軽／ヤリマン	slut
スリニヴァサン，アミア	Srinivasan, Amia
性格	character
性教育	sex education
せいさべつ@性差別／セクシズム	sexism
ぜいじゃくせい@脆弱性／傷つきやすさ	vulnerability
せいしょ@聖書	Bible, The
せいしょく@生殖	procreation
せいしょくしゅぎ@生殖主義	procreationism
セイディー・スライフォックス	Slyfox, Sadie
せいてきどうい@性的同意	sexual consent
せいてきぼうこう@性的暴行	sexual assault
性的欲求の不一致	desire discrepancy
せいどうとく@性道徳	suxual morality
せいはんざい@性犯罪	sexual crime
せいぼうりょく@性暴力	sexual violence
せかいセクシュアルヘルスきょうかい@世界性健康協会	WASH, World Association for Sexual Health
せかいほけんきこう@世界保健機構	World Health Organization (WHO)
セジウィック，イブ	Sedgwick, Eve
セックス革命	Sexual Revolution
セックス購入禁止法	sex buyer law
セックステクノロジー／セックステック	sexual technology / sex tech
セックストイ／大人のオモチャ	sex toy
セックス倫理（学）	sex ethics / sexual ethics
セックスロボット／セックスボット	sex robots / sexbot
セックスワーカー・アライネットワーク	Sex Workers and Allies Network in Sweden
セックスワーク／セックスワーカー	sex work / sex worker
セッテガスト，サシャ	Settegast, Sascha
セト，マイケル	Seto, Michael
セネカフォールズ会議	Seneca Falls Convention
ゼリンスキー，エドワード	Zelinsky, Edward
セン，アマルティア	Sen, Amartya
セントジェームズ，マーゴ	St. James, Margo
ゼン，リリー	Zheng, Lily
ゼン，ロビン	Zheng, Robin
ぞうおはんざい@憎悪犯罪／ヘイトクライム	hate crime
そうごせい@相互性／互恵性	reciprocity
そうごせつ@相互説（セックスの）	reciprocity view
ソーブル，アラン	Soble, Alan
ソクラテス	Socrates
ソマリバ，マリーローズ	Somarriba, Mary Rose
ソルニット，レベッカ	Solnit, Rebecca
ソロット，ドリアン	Solot, Dorian
ソロプチミスト	Soroptomist
タークル，シェリー	Turkle, Sherry
ダーショヴィッツ，アラン	Dershowitz, Alan
ターナー，ブロック	Turner, Brock
ダーリン，エラ	Darling, Ela
ダーリン，ケイト	Darling, Kate
ターンブル，マルコム	Turnbull, Malcolm
大統領生命倫理委員会	President's Council on Bioethics
タイム	Time, The
ダインズ，ゲイル	Dines, Gail
ダウザット，ロス	Douthat, Ross
タオルミノ，トリスタン	Taormino, Tristan
ダガー，チェルシー	Dagger, Chelsea
多元的無知	pluralistic ignorance
多重婚	plural marriage
タッカー，エボニー	Tucker, Ebony
ダナハー，ジョン	Danaher, John
ダニエロ，カリッサ	D'Aniello, Carissa
タネンヒル，ブライアン	Tannehill, Brynn
ダフ，R. A.	Duff, R.A.
ダン=コーヘン，メイヤー	Dan-Cohen, Meir
チーヴァス，アレクサンダー	Cheves, Alexander
チェンバース，クララ	Chambers, Clare
チェンバース，デヴィッド	Chambers, David
チチェロ，リラ	Cicero, Lyla
チャプリンスキー事件／チャプリンスキー対ニューハンプシャー事件	Chaplinsky v. New Hampshire
チャルマーズ，ハリー	Chalmers, Harry
チャルマーズ，マーサ	Chamallas, Martha
チャンサー，リン	Chancer, Lynn
チェンバース，ティモシー	Chambers, Timothy
中国	China
中立性	neutrality
チューリング，アラン	Turing, Alan
チョーサー，ジェフリー	Chaucer, Geoffrey
ツイスト，マーキー	Twist, Markie
ツイッター	Twitter
ツォリス，アテナ	Tsoulis, Athena
定言命法	Categorical Imperative
ディジセクシュアリティ	digisexuality
デイトン，ケイティー	Deighton, Katie
テイラー，ハリエット	Taylor, Harriet
ティンダー	Tinder
デヴィッドソン，ジュリア・オコーナー	Davidson, Julia O'Connell
デヴォス，ベッツィー	DeVos, Betsy
デヴリン，ケイト	Devlin, Kate
デヴリン，パトリック	Devlin, Patrick (Baron)
デート差別	dating discrimination
デソウサ，ロナルド	De Sousa, Ronald
テックハブ	Techhub
テネシー大学チャッタノガ校	University of Tennessee at Chattanooga
デパウロ，ベラ	DePaulo, Bella
デボーア，フレディー	De Boer, Freddie
デュルケーム，エミール	Durkheim, Emile
デリダ，ジャック	Derrida, Jacques
テレディルドニクス	teledildonics
デンオットー，ロナルド・C	Den Otter, Ronald C.
テンプルマン，バロン・シドニー	Templeman, Baron Sydney
デンマーク	Denmark
ドイツ	Germany
ドウォーキン，アンドレア	Dworkin, Andrea
ドウォーキン，ロナルド	Dworkin, Ronald
統計	statistics
倒錯	perversion
同性愛	homosexuality
同類配偶	assortative mating
ドゥルーズ，ジル	Deleuze, Gilles
トーマス，ジョージ・C	Thomas, George C.
トールベア，キム	Tallbear, Kim
特殊意義説，セックスの	significance view of sex
徳倫理学	virtue ethics
ドットソン，ベティ	Dodson, Betty
ドノヴァン，ダン	Donovan, Dan
ドハティ，トム	Dougherty, Tom
ドミナトリックス／女王様	dominatrix
ドム／ドミナント	dominant
トラウマ／心的外傷	trauma
トラウマプレイ	trauma play
ドラミ，ドゥドゥ	Dlami, Dudu
トランスジェンダー	transgender
トランスジェンダーアイデンティティ	transgender identity
トランプ，ドナルド	Trump, Donald
ドレイパー，シャーリー	Draper, Shirlee
ドレハー，ロッド	Dreher, Rod
ドロレ，プリンセス・ダイアナ	Dolore, Princess Donna
内部説	internalism
ナダル，ケヴィン	Nadal, Kevin
日本	Japan
ニュー，ジェローム	Neu, Jerome
ニュージーランド売春者連合	New Zealand Prostitutes Collective
『ニューズウィーク』	Newsweek
ニュースティッファー，ルース	Neustifter, Ruth
ニューマール，スタシ	Newmahr, Staci
『ニューヨーカー』	New Yorker, The
『ニューヨークタイムズ』	New York Times, The
妊娠中絶	abortion
ヌスバウム，マーサ	Nussbaum, Martha
『ネイション』	Nation, The
ネーゲル，トマス	Nagel, Thomas
ネーリング，クリスティナ	Nehring, Christina
ネットデート	internet dating
熱烈同意	enthusiastic consent
ノージック，ロバート	Nozick, Robert
ノックス，クレメント	Knox, Clement
ノルウェイ	Norway
バーク，エドムンド	Burke, Edmund
バーグナー，ダニエル	Bergner, Daniel
パーディ，エリザベス	Pardi, Elizabeth
ハート，H.L.A.	Hart, H.L.A.
ハード，ハイジ	Hurd, Heidi
ハートリー，ニナ	Hartley, Nina
ハーバード大学	Harvard University
ハーマン，ギルバート	Harman, Gilbert
バーロウ，ライネ	Barlow, Lynae
バーンスタイン，エリザベス	Bernstein, Elizabeth
バーンスタイン，デヴィッド	Bernstein, David
バイセクシュアリティ	bisexuality
バウアー，ナンシー	Bauer, Nancy
バウアー，ロビン	Bauer, Robin
バウマイスター，ロイ	Baumeister, Roy
パウロ	Paul
バエアー，ジョディー・L	Baer, Jodie L.
バス，デヴィッド	Buss, David
パターナリスズム	paternalism
ハッサン，ヤスミーン	Hassan, Yasmeen
バディ・ソヌ	Badi, Sonu
バドゥー	Badoo
バトラー，ジュディス	Butler, Judith
バトラー事件／R対バトラー事件	R. v. Butler
パトリッジ，ステファニー	Patridge, Stephanie
バニラ	vanilla
ハバード，フィリップ	Hubbard, Philip
パフォーマティヴ	performative
パフォーマンス	performance
ハラスメント	harassment
パラフィリア	paraphilia
バリー，キャスリーン	Barry, Kathleen
ハリス，サマンサ	Harris, Samantha
ハリス，ヘレン	Harris, Helen
ハルワニ，ラジャ	Halwani, Raja
ハレー，ジャネット	Halley, Janet
パレルモ協定	Palermo Protocol
パンセクシュアリティ	pansexuality
反ソドミー法	anti-sodomy law
ハンソン，ロビン	Hanson, Robin
バンチ，シャルロッテ	Bunch, Charlotte
ハンナ，シェリル	Hannah, Cheryl
ハンプトン，ジーン	Hampton, Jean
ヒーリー，キャサリン	Healy, Catherine
ビール，アン	Beall, Ann
美徳	virtue
避妊	contraception
非人間化	dehumanize
避妊道徳	contraceptino morality
非犯罪化	decriminalization
ビブラーズ，ティモシー	Biblarz, Timothy J.
非モノガミー	non-monogamy
ピューリサーチ	Pew Research
平等	equality
ビヨンセ	Beyoncé
ヒンスリフ，ゲイビー	Hinsliff, Gaby
ビンデル，ジュリー	Bindel, Julie
ピンプ	
フア，カイ	Hua, Cai
ファーグソン，アン	Ferguson, Ann
ファーリー，メリッサ	Farley, Melissa
ファング，ジョアンナ	Fang, Joanna
フィッシェル，ジョセフ	Fischel, Joseph
フィッシャー，ヘレン	Fisher, Helen
フィニス，ジョン	Finnis, John
『フィフティ・シェイズ・オブ・グレイ』（映画）	Fifty Shades of Grey
フィリポヴィック，ジル	Filipovic, Jill
フィン，ピーター	Finn, Peter
フィンガー，アン	Finger, Anne
フーコー，ミッシェル	Foucault, Michel
フーサック，ダグラス	Husak, Douglas
フェアステイン，リンダ	Fairstein, Linda
フェイスブック	Facebook
フェスラー，リー	Fessler, Leah
フェミニスト	feminist
フェミニスト，ラディカル	feminist, radical
フェミニスト・ポルノ賞	Feminist Porn Awards
フェミニスト，リベラル	feminist, liberal
フェミニズム	feminism
『フューチュラマ』	Futurama
『フォックスニュース』	Fox News
不快／憤り／オフェンス	offense
福祉	welfare
フクヤマ，フランシス	Fukuyama, Francis
福利	well-being
フックアップ	hook-up
	
ブライデン，デヴィッド	Bryden, David
ブライトバート	Breitbart
プライバシーの権利	right to privacy
ブラウン，ジェニファー・ジェラルダ	Brown, jennifer Geralda
ブラウン事件／R対ブラウン事件	R. v. Brown
プラトン	Plato
フランス	France
ブリー事件／R対ブリー事件	R. v. Bree
プリースト，グラハム	Priest, Graham
フリーダースドーフ，コーナー	Friedersdorf, Conor
フリーダン，ベティ	Friedan, Betty
フリードマン，アン	Friedman, Ann
フリードマン，カリン	Freedman, Karyn
フリードマン，ジャクリン	Friedman, Jaclyn
プリモラッツ，イゴール	Primoratz, Igor
フリン，エイリノール	Flynn, Eilionóir
ブルー，ヴァイオレット	Blue, Violet
ブルーニング，エリザベス	Bruenig, Elizabeth
ブレイク，エリザベス	Brake, Elizabeth
フレイズ，ピーター	Frase, Peter
フレイタス，ドナ	Freitas, Donna
プレイボーイ	Playboy
フレンチ，デヴィッド	French, David
プローズ，ニコル	Prause, Nicole
ブロックウェル，ホリー	Brockwell, Holly
ヘイウッド，レスリー	Heywood, Leslie
アメリカ合衆国／米国	United Nations
米国心理学会	American Psychological Association
ペイトマン，キャロル	Pateman, Carole
ペイパル	PayPal
ヘイム，コリーン	Haym, Corinne
ヘーバレー，エルヴィン・J	Haeberle, Erwin J.
ベックマン，アンドレア	Beckman, Andrea
ベッドフォード事件	Canada (AG) v. Bedford
ヘテロノーマティヴィティ／異性愛規範	heteronormativity
ヘネシー，ローズマリー	Hennessy, Rosemary
ベネター，デヴィッド	Benatar, David
ベネット，ウィリアム	Bennett, William
ヘフナー，ヒュー	Hefner, Hugh
ベレス，メラニー	Beres, Melanie
ベン，ピアーズ	Benn, Piers
ベンサム，ジェレミー	Bentham, Jeremy
ヘンダーソン，リン	Henderson, Lynne
ベンデット，ジャニン	Benedet, Janine
ボアズ，デヴィッド	Boaz, David
ホーキンス，アラン・J	Hawkins, Alan J.
ホームズ，オリヴァー・ウェンデル	Holmes, Oliver Wendell
ポーリン，マイケル	Palin, Michael
北欧モデル	Nordic Model
北欧モデル情報ネットワーク	Nordic Model Information Network
保守主義	conservativism
保守／保守派	conservative
ポスト構造主義	post-structuralism
ポズナー，リチャード	Posner, Richard
ボッカッチョ	Boccaccio
ホッブズ，マイケル	Hobbes, Michael
ボニ=サエンズ，アレクサンダー	Boni-Saenz, Alexander
ホプキンス，パトリック	Hopkins, Patrick
ホプケ，ロバート	Hopcke, Robert
ホメロス	Homer
ポリアモリー／複数愛	polyamory
ポリアンドリー／一妻多夫	polyandry
ポリガミー	polygamy
ポリジニー／一夫多妻	polygyny
ポルノグラフィ／ポルノ	pornography
マーキン，ダフネ	Merkin, Daphne
マーサー，ジョン	Mercer, John
マーチ，アンドリュー	March, Andrew
マーフィー，キャサリン	Murphy, Catherine
マーフィー，メーガン	Murphy, Meghan
マイクロソフト	Microsoft
マイルズ，サム	Miles, Sam
マインドギーク	MindGeek
マギーズ・トロント	Maggie's Toronto Sex Worker's Action Project
マクグレゴール，キャサリン	MacGregor, Joan
マクドナルド，ジェフ	MacDonald, Geoff
マクリントック，アン	McClintock, Anne
マケオン，ローレン	McKeon, Lauren
マコーミック，マイケル	McCormick, Michael
マスターカード	Mastercard
マスターベーション	masterbation
マッカーサー，ニール	McArthur, Neil
マッキーヴァー，ナターシャ	McKeever, Natasha
マッキンン，キャサリン	MacKinnon, Catharine
マック，ジュノ	Mac, Juno
マックイーン，パディ	McQueen, Paddy
マッチ・グループ	Match Group
マッチングアプリ／マッチングサイト	dating apps / dating service
マルクス主義	Marxism
マレー，チャールズ	Murray, Charles
ミアアウスジーヘン、アヴァ	Mir-Ausziehen, Ava
ミーガン，タイラー	Tyler, Meagan
ミゴッティ，マーク	Migotti, Mark
ミシー・B	B. Michea
ミッチェル，ピーター・ジョン	Mitchell, Peter Jon
ミッチェル，ミーガン	Mitchell, Megan
南アフリカ	South Africa
ミューレンハード，シャルリーン	Muehlenhard, Charlene
ミラー，ジェフリー	Miller, Geoffrey
ミラー，マーシャル	Miller, Marshall
ミル，ジョンスチュワート	Mill, John Stuart
ミレット，ケイト	Millet, Kate
民主主義	democracy
ムーディー，メアリ	Moody, Mary
明示的同意	affirmative consent
メイフェア，ミシャ	Mayfair, Misha
メイベリー事件／人民対メイベリー事件	People v. Mayberry
メソポタミア	Mesopotamia
メッツ，タマラ	Metz, Tamara
メリーニ，ジョヴァンニ	Mellini, Giovanni
メルマン，ケン	Mehlman, Ken
モーガン，セイリオル	Morgan, Seiriol
モーガン，ロビン	Morgan, Robin
モーザー，チャールズ	Moser, Charles
モデル刑法典	Model Penal Code
モノ化	objectification
モノガミー／一夫一婦	monogamy
モノノーマティヴィティ	mononormativity
モノノーマティヴィティ／モノガミー規範	mononormativity
モラン，レイチェル	Moran, Rachel
モンテーニュ，ミシェル・ド	Montaigne, Michel de
ヤング，キャシー	Young, Cathy
ユスティニアヌス	Justinian
ユッテン，ティモ	Jütten, Timo
『ユリシーズ』	Ulysses
ヨッフェ，エミリー	Yoffe, Emily
ラーソン，ジェーン	Larson, Jane
ライアン，クリストファー	Ryan, Christopher
ライト，ジョン	Witte, John
ラウレティス，テレサ・デ	De Lauretis, Teresa
ラカン，ジャック	Lacan, Jacques
ラキエール，ジェネヴィヴ	Lakier, Genevieve
ラスト，エリカ	Lust, Erika
ラック，モーガン	Luck, Morgan
ラディック，サラ	Ruddick, Sara
ラディン，メリー・ジェーン	Radin, Mary Jane
ラブ，シナモン	Love, Sinnamon
ラフセックス	rough sex
ラブドラッグ	love drug
ラブレース，リンダ	Lovelace, Linda
ラムダ法律擁護教育基金	Lambda Legal Defense and Education Fund, Inc.
ラモス，ノーマ	Ramos, Norma
ラロック，J. P.	Larocque, J.P.
ラングトン，レイ	Langton, Rae
『ランセット』	Lancet, The
リー，キャロル	Leigh, Carol
リーガルモラリズム	legal moralism
『リスナー』	Listner, The
リチャーズ，エイミー	Richards, Amy
リチャードソン，キャスリーン	Richardson, Kathleen
リチャードソン，ダイアン	Richardson, Diane
リッチ，パトリシア	Rich, Patricia
リドストローム，ジェンス	Rydström, Jens
リベラリズム／自由主義	liberalism
リベラル／リベラル派	liberal
リベルト，ハリー	Liberto, Hallie
リライアブルコンサルタント対アール事件	Reliable Consultants v. Earle
リンクレター，アート	Linkletter, Art
リンデマン，ダニエル	Lindeman, Danielle
ルインスキー，モニカ	Lewinsky, Monica
ルース，マイケル	Ruse, Michael
ルター，マルチン	Luther, Martin
ルダー，クリスチャン	Rudder, Christian
レイ，デヴィッド	Ley, David
レイコフ，ローガン	Levkoff, Logan
レイノルズ，ドーン	Reynolds, Dawn
レイプ／強姦	rape
レイプカルチャー	rape culture
レイホンズ，ドナ・ルー	Rayhons, Donna Lou
レイホンズ，ヘンリー	Rayhons, Henry
レヴァイン，I. S.	Levine, I.S.
レヴィー，ジェイ	Levy, Jay
レヴィー，ニール	Levy, Neil
レヴィ=ストロース，クロード	Lévi-Strauss, Claude
レヴィタン，ミア	Levitan, Mia
